=================Motor Informations=================
Name;RH-457SD-13150
Type;DC
UMotorMax;24
IMotorMax;0.6
PMotorMax;100
SpeedMax;4000
================Scenarios Informations================
U_MIN_TO_U_MAX;0;23.9;0
==============================================
test: Umin =0.0to Umax 23.9
Setting;U [V];v[tr/min];I[A]
Set U = 0.0;0.15;0;0.0
Set U = 0.96;1.02;0;0.02
Set U = 1.92;1.89;0;0.03
Set U = 2.88;2.92;0;0.03
Set U = 3.84;3.94;0;0.03
Set U = 4.8;4.89;0;0.03
Set U = 5.76;5.83;0;0.03
Set U = 6.72;6.74;0;0.03
============================================================
