=================Motor Informations=================
Name;RH-457SD-13150
Type;DC
UMotorMax;24
IMotorMax;0.6
PMotorMax;100
SpeedMax;4000
================Scenarios Informations================
U_MIN_TO_U_MAX;0;23.9;0
==============================================
test: Umin =0.0to Umax 23.9
Setting;U [V];v[tr/min];I[A]
Set U = 0.0;0.151;0;0.001
Set U = 0.96;0.985;0;0.02
Set U = 1.92;1.932;0;0.034
Set U = 2.88;2.803;0;0.034
Set U = 3.84;3.939;0;0.037
Set U = 4.8;4.772;0;0.036
Set U = 5.76;5.795;0;0.035
Set U = 6.72;6.742;0;0.036
Set U = 7.68;7.726;0;0.036
Set U = 8.64;8.673;0;0.039
Set U = 9.6;9.62;0;0.039
Set U = 10.56;10.643;0;0.037
Set U = 11.52;11.552;0;0.04
Set U = 12.48;12.499;0;0.041
Set U = 13.44;13.483;0;0.037
Set U = 14.4;14.468;0;0.039
Set U = 15.36;15.339;0;0.042
Set U = 16.32;16.362;0;0.038
Set U = 17.28;17.309;0;0.038
Set U = 18.24;18.294;0;0.038
Set U = 19.2;19.241;0;0.04
Set U = 20.16;20.187;0;0.038
Set U = 21.12;21.134;0;0.043
Set U = 22.08;22.081;0;0.043
Set U = 23.04;23.066;0;0.043
Set U = 24.0;24.051;0;0.042
============================================================
